"human_geneid","human_EnsemblID","human_Symbol","human_type_of_gene","human_description","marmoset_EnsemblID","marmoset_geneid","marmoset_Symbol","mouse_EnsemblID","mouse_geneid","mouse_Symbol","rhesus_macaque_EnsemblID","rhesus_macaque_geneid","rhesus_macaque_Symbol"
126567,"ENSG00000183186","C2CD4C","protein-coding","C2 calcium dependent domain containing 4C",NA,100412339,"C2CD4C","ENSMUSG00000045912",237397,"C2cd4c",NA,100424440,"C2CD4C"
126626,"ENSG00000143458","GABPB2","protein-coding","GA binding protein transcription factor subunit beta 2","ENSCJAG00000007146",100397721,"GABPB2","ENSMUSG00000038766",213054,"Gabpb2","ENSMMUG00000008402",716443,"GABPB2"
126637,"ENSG00000182898","TCHHL1","protein-coding","trichohyalin like 1",NA,100401705,"TCHHL1","ENSMUSG00000027908",71325,"Tchhl1",NA,100430956,"TCHHL1"
126638,"ENSG00000215853","RPTN","protein-coding","repetin",NA,100404491,"RPTN","ENSMUSG00000041984",20129,"Rptn",NA,100425215,"RPTN"
126661,"ENSG00000280670","CCDC163","protein-coding","CCDC163 homolog",NA,NA,NA,"ENSMUSG00000028689",68394,"Ccdc163",NA,706030,"CCDC163"
126668,"ENSG00000163239","TDRD10","protein-coding","tudor domain containing 10","ENSCJAG00000009543",100404962,"TDRD10",NA,NA,NA,"ENSMMUG00000019545",718720,"TDRD10"
126669,"ENSG00000169291","SHE","protein-coding","Src homology 2 domain containing E","ENSCJAG00000009551",100404609,"SHE","ENSMUSG00000046280",214547,"She","ENSMMUG00000022980",716722,"SHE"
126695,"ENSG00000175707","KDF1","protein-coding","keratinocyte differentiation factor 1","ENSCJAG00000010076",100410708,"KDF1","ENSMUSG00000037600",69073,"Kdf1","ENSMMUG00000002555",715312,"KDF1"
126731,"ENSG00000154429","CCSAP","protein-coding","centriole, cilia and spindle associated protein",NA,100397360,"CCSAP","ENSMUSG00000031971",73420,"Ccsap","ENSMMUG00000017722",694154,"CCSAP"
126755,"ENSG00000162494","LRRC38","protein-coding","leucine rich repeat containing 38","ENSCJAG00000013769",100414890,"LRRC38","ENSMUSG00000028584",242735,"Lrrc38","ENSMMUG00000053824",722785,"LRRC38"
126767,"ENSG00000188984","AADACL3","protein-coding","arylacetamide deacetylase like 3","ENSCJAG00000013722",100410582,"AADACL3","ENSMUSG00000078507",230883,"Aadacl3","ENSMMUG00000057874",722778,"AADACL3"
126789,"ENSG00000169972","PUSL1","protein-coding","pseudouridine synthase like 1",NA,100387849,"PUSL1","ENSMUSG00000051557",433813,"Pusl1","ENSMMUG00000016279",705127,"PUSL1"
126792,"ENSG00000176022","B3GALT6","protein-coding","beta-1,3-galactosyltransferase 6",NA,100387131,"B3GALT6","ENSMUSG00000050796",117592,"B3galt6","ENSMMUG00000019519",703713,"B3GALT6"
126820,"ENSG00000162643","DNAI3","protein-coding","dynein axonemal intermediate chain 3","ENSCJAG00000006895",100412974,"DNAI3","ENSMUSG00000043020",242253,"Dnai3","ENSMMUG00000008932",711075,"DNAI3"
126823,"ENSG00000162755","KLHDC9","protein-coding","kelch domain containing 9","ENSCJAG00000005389",100408974,"KLHDC9","ENSMUSG00000045259",68874,"Klhdc9","ENSMMUG00000002007",719863,"KLHDC9"
126859,"ENSG00000162779","AXDND1","protein-coding","axonemal dynein light chain domain containing 1",NA,100387332,"AXDND1","ENSMUSG00000026601",77352,"Axdnd1","ENSMMUG00000003769",716903,"AXDND1"
126868,"ENSG00000173212","MAB21L3","protein-coding","mab-21 like 3",NA,100401143,"MAB21L3","ENSMUSG00000044313",242125,"Mab21l3","ENSMMUG00000000431",712929,"MAB21L3"
126917,"ENSG00000169991","IFFO2","protein-coding","intermediate filament family orphan 2","ENSCJAG00000007173",100896286,"IFFO2","ENSMUSG00000041025",212632,"Iffo2","ENSMMUG00000004754",106995162,"IFFO2"
126969,"ENSG00000143036","SLC44A3","protein-coding","solute carrier family 44 member 3","ENSCJAG00000018117",100409033,"SLC44A3","ENSMUSG00000039865",213603,"Slc44a3","ENSMMUG00000001686",714768,"SLC44A3"
127002,"ENSG00000162650","ATXN7L2","protein-coding","ataxin 7 like 2",NA,100415128,"ATXN7L2","ENSMUSG00000048997",72522,"Atxn7l2","ENSMMUG00000005815",701498,"ATXN7L2"
127003,"ENSG00000179902","CFAP276","protein-coding","cilia and flagella associated protein 276","ENSCJAG00000002720",100400777,"CFAP276","ENSMUSG00000027886",75504,"Cfap276","ENSMMUG00000030300",699019,"CFAP276"
127018,"ENSG00000143353","LYPLAL1","protein-coding","lysophospholipase like 1",NA,100389980,"LYPLAL1","ENSMUSG00000039246",226791,"Lyplal1","ENSMMUG00000007806",707313,"LYPLAL1"
127069,"ENSG00000184022","OR2T10","protein-coding","olfactory receptor family 2 subfamily T member 10","ENSCJAG00000008926",100413044,"OR2T10",NA,NA,NA,NA,NA,NA
127077,"ENSG00000279301","OR2T11","protein-coding","olfactory receptor family 2 subfamily T member 11",NA,100408726,"OR2T11",NA,NA,NA,NA,NA,NA
127124,"ENSG00000151418","ATP6V1G3","protein-coding","ATPase H+ transporting V1 subunit G3",NA,100415557,"ATP6V1G3","ENSMUSG00000026394",338375,"Atp6v1g3","ENSMMUG00000011992",710372,"ATP6V1G3"
127247,"ENSG00000154007","ASB17","protein-coding","ankyrin repeat and SOCS box containing 17","ENSCJAG00000006817",100396057,"ASB17","ENSMUSG00000038997",66772,"Asb17","ENSMMUG00000018695",705540,"ASB17"
127253,"ENSG00000162623","TYW3","protein-coding","tRNA-yW synthesizing protein 3 homolog","ENSCJAG00000006550",100385836,"TYW3","ENSMUSG00000047583",209584,"Tyw3","ENSMMUG00000014595",704515,"TYW3"
127254,"ENSG00000178965","ERICH3","protein-coding","glutamate rich 3","ENSCJAG00000006491",100413930,"ERICH3","ENSMUSG00000078161",209601,"Erich3","ENSMMUG00000019493",708851,"ERICH3"
127255,"ENSG00000162620","LRRIQ3","protein-coding","leucine rich repeats and IQ motif containing 3",NA,128928187,"LRRIQ3","ENSMUSG00000028182",74435,"Lrriq3","ENSMMUG00000012465",708661,"LRRIQ3"
127262,"ENSG00000158109","TPRG1L","protein-coding","tumor protein p63 regulated 1 like","ENSCJAG00000002752",100398848,"TPRG1L","ENSMUSG00000029030",67808,"Tprg1l",NA,114677490,"TPRG1L"
127281,"ENSG00000157870","PRXL2B","protein-coding","peroxiredoxin like 2B",NA,100403434,"PRXL2B","ENSMUSG00000029059",66469,"Prxl2b","ENSMMUG00000012380",695160,"PRXL2B"
127294,"ENSG00000142661","MYOM3","protein-coding","myomesin 3",NA,100393792,"MYOM3","ENSMUSG00000037139",242702,"Myom3","ENSMMUG00000023052",719256,"MYOM3"
127343,"ENSG00000197587","DMBX1","protein-coding","diencephalon/mesencephalon homeobox 1",NA,100407212,"DMBX1","ENSMUSG00000028707",140477,"Dmbx1","ENSMMUG00000014634",709514,"DMBX1"
127385,"ENSG00000184155","OR10J5","protein-coding","olfactory receptor family 10 subfamily J member 5",NA,100399526,"LOC100399526","ENSMUSG00000037924",18313,"Or10j5",NA,106992667,"LOC106992667"
127391,"ENSG00000188800","TMCO2","protein-coding","transmembrane and coiled-coil domains 2","ENSCJAG00000002830",100396422,"TMCO2","ENSMUSG00000078577",69469,"Tmco2","ENSMMUG00000052510",693977,"TMCO2"
127396,"ENSG00000117010","ZNF684","protein-coding","zinc finger protein 684","ENSCJAG00000002965",103794372,"ZNF684",NA,NA,NA,"ENSMMUG00000009234",695691,"ZNF684"
127428,"ENSG00000116205","TCEANC2","protein-coding","transcription elongation factor A N-terminal and central domain containing 2","ENSCJAG00000004976",100391115,"TCEANC2","ENSMUSG00000028619",66526,"Tceanc2","ENSMMUG00000014218",714992,"TCEANC2"
127435,"ENSG00000174348","PODN","protein-coding","podocan","ENSCJAG00000004449",100412736,"PODN","ENSMUSG00000028600",242608,"Podn","ENSMMUG00000007604",715856,"PODN"
127495,"ENSG00000122477","LRRC39","protein-coding","leucine rich repeat containing 39",NA,100393531,"LRRC39","ENSMUSG00000027961",109245,"Lrrc39","ENSMMUG00000004241",711471,"LRRC39"
127534,"ENSG00000189433","GJB4","protein-coding","gap junction protein beta 4","ENSCJAG00000023374",100409030,"GJB4","ENSMUSG00000046623",14621,"Gjb4","ENSMMUG00000001860",710994,"GJB4"
127540,"ENSG00000176256","HMGB4","protein-coding","high mobility group box 4",NA,103794350,"HMGB4","ENSMUSG00000048686",69317,"Hmgb4","ENSMMUG00000006238",710554,"HMGB4"
127544,"ENSG00000116514","RNF19B","protein-coding","ring finger protein 19B",NA,100413811,"RNF19B","ENSMUSG00000028793",75234,"Rnf19b","ENSMMUG00000050209",710523,"RNF19B"
127550,"ENSG00000184389","A3GALT2","protein-coding","alpha 1,3-galactosyltransferase 2",NA,100414894,"A3GALT2","ENSMUSG00000028794",215493,"A3galt2","ENSMMUG00000003268",711045,"A3GALT2"
127579,"ENSG00000163354","DCST2","protein-coding","DC-STAMP domain containing 2",NA,100406426,"DCST2","ENSMUSG00000109293",329702,"Dcst2","ENSMMUG00000023336",717224,"DCST2"
127602,"ENSG00000185842","DNAH14","protein-coding","dynein axonemal heavy chain 14",NA,NA,NA,"ENSMUSG00000047369",240960,"Dnah14","ENSMMUG00000051471",703819,"DNAH14"
127608,"ENSG00000177275","OR2AJ1","protein-coding","olfactory receptor family 2 subfamily AJ member 1",NA,100411617,"LOC100411617",NA,NA,NA,NA,100427785,"LOC100427785"
127623,"ENSG00000177535","OR2B11","protein-coding","olfactory receptor family 2 subfamily B member 11",NA,NA,NA,"ENSMUSG00000059610",257962,"Or2b11","ENSMMUG00000005949",709256,"LOC709256"
127665,"ENSG00000179930","ZNF648","protein-coding","zinc finger protein 648","ENSCJAG00000004652",100406179,"ZNF648","ENSMUSG00000066797",100503355,"Zfp648","ENSMMUG00000059328",716032,"ZNF648"
127670,"ENSG00000203730","TEDDM1","protein-coding","transmembrane epididymal protein 1",NA,100394817,"TEDDM1",NA,NA,NA,NA,NA,NA
127687,"ENSG00000197982","C1orf122","protein-coding","chromosome 1 open reading frame 122","ENSCJAG00000002094",100393180,"C7H1orf122","ENSMUSG00000078570",68920,"1110065P20Rik","ENSMMUG00000005371",714741,"C1H1orf122"
127700,"ENSG00000116885","OSCP1","protein-coding","organic solute carrier partner 1","ENSCJAG00000001826",100389673,"OSCP1","ENSMUSG00000042616",230751,"Oscp1","ENSMMUG00000020432",641439,"OSCP1"
127703,"ENSG00000142686","C1orf216","protein-coding","chromosome 1 open reading frame 216",NA,100385959,"C7H1orf216","ENSMUSG00000073755",230757,"5730409E04Rik","ENSMMUG00000059270",712259,"C1H1orf216"
127707,"ENSG00000179023","KLHDC7A","protein-coding","kelch domain containing 7A",NA,100406109,"KLHDC7A","ENSMUSG00000078234",242721,"Klhdc7a","ENSMMUG00000064850",713771,"KLHDC7A"
127731,"ENSG00000158816","VWA5B1","protein-coding","von Willebrand factor A domain containing 5B1",NA,100411909,"VWA5B1","ENSMUSG00000028753",75718,"Vwa5b1","ENSMMUG00000006022",717269,"VWA5B1"
127733,"ENSG00000162543","UBXN10","protein-coding","UBX domain protein 10","ENSCJAG00000023243",100396194,"UBXN10","ENSMUSG00000043621",212190,"Ubxn10","ENSMMUG00000038517",705058,"UBXN10"
127795,"ENSG00000162598","C1orf87","protein-coding","chromosome 1 open reading frame 87","ENSCJAG00000016137",100402371,"C7H1orf87","ENSMUSG00000078639",620779,"Gm12695","ENSMMUG00000006756",693884,"C1H1orf87"
127829,"ENSG00000143862","ARL8A","protein-coding","ADP ribosylation factor like GTPase 8A",NA,100402312,"ARL8A","ENSMUSG00000026426",68724,"Arl8a","ENSMMUG00000031357",706361,"ARL8A"
127833,"ENSG00000143858","SYT2","protein-coding","synaptotagmin 2",NA,118149511,"SYT2","ENSMUSG00000026452",20980,"Syt2","ENSMMUG00000004001",706962,"SYT2"
127845,"ENSG00000174567","GOLT1A","protein-coding","golgi transport 1A","ENSCJAG00000016909",100406914,"GOLT1A","ENSMUSG00000103421",68338,"Golt1a","ENSMMUG00000064841",700305,"GOLT1A"
127933,"ENSG00000152332","UHMK1","protein-coding","U2AF homology motif kinase 1","ENSCJAG00000004291",100408720,"UHMK1","ENSMUSG00000026667",16589,"Uhmk1","ENSMMUG00000019513",720105,"UHMK1"
127943,"ENSG00000162746","FCRLB","protein-coding","Fc receptor like B",NA,100388292,"FCRLB","ENSMUSG00000070524",435653,"Fcrlb","ENSMMUG00000056482",720028,"FCRLB"
128025,"ENSG00000162843","WDR64","protein-coding","WD repeat domain 64","ENSCJAG00000017281",100402090,"WDR64","ENSMUSG00000026523",75820,"Wdr64","ENSMMUG00000008763",707212,"WDR64"
128061,"ENSG00000143633","C1orf131","protein-coding","chromosome 1 open reading frame 131","ENSCJAG00000018389",100414610,"C19H1orf131","ENSMUSG00000031984",66523,"2810004N23Rik","ENSMMUG00000005803",719141,"C1H1orf131"
128077,"ENSG00000271601","LIX1L","protein-coding","limb and CNS expressed 1 like","ENSCJAG00000002198",100398801,"LIX1L","ENSMUSG00000049288",280411,"Lix1l","ENSMMUG00000016053",100430860,"LIX1L"
128153,"ENSG00000162814","SPATA17","protein-coding","spermatogenesis associated 17",NA,100399809,"SPATA17","ENSMUSG00000026611",74717,"Spata17","ENSMMUG00000007213",707859,"SPATA17"
128178,"ENSG00000186197","EDARADD","protein-coding","EDAR associated via death domain","ENSCJAG00000017702",100408982,"EDARADD","ENSMUSG00000095105",171211,"Edaradd","ENSMMUG00000021238",710637,"EDARADD"
128209,"ENSG00000171872","KLF17","protein-coding","KLF transcription factor 17",NA,100413697,"KLF17","ENSMUSG00000048626",75753,"Klf17","ENSMMUG00000005986",702810,"KLF17"
128218,"ENSG00000179178","TMEM125","protein-coding","transmembrane protein 125","ENSCJAG00000003348",100406725,"TMEM125","ENSMUSG00000050854",230678,"Tmem125","ENSMMUG00000012766",699920,"TMEM125"
128229,"ENSG00000163467","TSACC","protein-coding","TSSK6 activating cochaperone","ENSCJAG00000005831",100405810,"TSACC","ENSMUSG00000010538",76927,"Tsacc","ENSMMUG00000051030",719490,"TSACC"
128239,"ENSG00000183856","IQGAP3","protein-coding","IQ motif containing GTPase activating protein 3","ENSCJAG00000005862",100407513,"IQGAP3","ENSMUSG00000028068",404710,"Iqgap3","ENSMMUG00000002621",719575,"IQGAP3"
128240,"ENSG00000163382","NAXE","protein-coding","NAD(P)HX epimerase","ENSCJAG00000006018",100408234,"NAXE","ENSMUSG00000028070",246703,"Naxe","ENSMMUG00000002623",718532,"NAXE"
128272,"ENSG00000142632","ARHGEF19","protein-coding","Rho guanine nucleotide exchange factor 19","ENSCJAG00000008325",100400770,"ARHGEF19","ENSMUSG00000028919",213649,"Arhgef19","ENSMMUG00000014410",704373,"ARHGEF19"
128308,"ENSG00000162910","MRPL55","protein-coding","mitochondrial ribosomal protein L55","ENSCJAG00000016730",100387586,"MRPL55","ENSMUSG00000036860",67212,"Mrpl55",NA,695962,"MRPL55"
128312,"ENSG00000196890","H2BC26","protein-coding","H2B clustered histone 26","ENSCJAG00000021908",100390342,"LOC100390342",NA,NA,NA,NA,NA,NA
128338,"ENSG00000156171","DRAM2","protein-coding","DNA damage regulated autophagy modulator 2","ENSCJAG00000013164",100389192,"DRAM2","ENSMUSG00000027900",67171,"Dram2","ENSMMUG00000000812",702812,"DRAM2"
128344,"ENSG00000173947","CIMAP3","protein-coding","ciliary microtubule associated protein 3","ENSCJAG00000013286",100390890,"CIMAP3","ENSMUSG00000010136",100503311,"Cimap3","ENSMMUG00000053581",703515,"CIMAP3"
128346,"ENSG00000143110","C1orf162","protein-coding","chromosome 1 open reading frame 162","ENSCJAG00000013381",100403210,"C7H1orf162","ENSMUSG00000074342",433638,"I830077J02Rik","ENSMMUG00000003579",705865,"C1H1orf162"
128360,"ENSG00000186306","OR10T2","protein-coding","olfactory receptor family 10 subfamily T member 2","ENSCJAG00000006444",100395298,"LOC100395298",NA,NA,NA,NA,100430663,"LOC100430663"
128366,"ENSG00000186440","OR6P1","protein-coding","olfactory receptor family 6 subfamily P member 1",NA,100393742,"OR6P1","ENSMUSG00000051509",258756,"Or6p1",NA,NA,NA
128367,"ENSG00000279111","OR10X1","protein-coding","olfactory receptor family 10 subfamily X member 1",NA,103789033,"LOC103789033","ENSMUSG00000066672",258238,"Or10x1",NA,719911,"LOC719911"
128368,"ENSG00000198967","OR10Z1","protein-coding","olfactory receptor family 10 subfamily Z member 1",NA,100397102,"OR10Z1","ENSMUSG00000050788",258710,"Or10z1","ENSMMUG00000050717",719922,"LOC719922"
128371,"ENSG00000180433","OR6K6","protein-coding","olfactory receptor family 6 subfamily K member 6","ENSCJAG00000022042",100394815,"LOC100394815","ENSMUSG00000046486",404222,"Or6k6","ENSMMUG00000050231",719179,"LOC719179"
128372,"ENSG00000197403","OR6N1","protein-coding","olfactory receptor family 6 subfamily N member 1","ENSCJAG00000022041",100397840,"OR6N1","ENSMUSG00000049528",258717,"Or6n1",NA,NA,NA
128387,"ENSG00000203705","TATDN3","protein-coding","TatD DNase domain containing 3","ENSCJAG00000015712",100408242,"TATDN3","ENSMUSG00000026632",68972,"Tatdn3","ENSMMUG00000031430",715769,"TATDN3"
128408,"ENSG00000125533","BHLHE23","protein-coding","basic helix-loop-helix family member e23","ENSCJAG00000010053",100395674,"BHLHE23","ENSMUSG00000045493",140489,"Bhlhe23","ENSMMUG00000037896",107000329,"BHLHE23"
128414,"ENSG00000101198","NKAIN4","protein-coding","sodium/potassium transporting ATPase interacting 4",NA,100405351,"NKAIN4","ENSMUSG00000027574",58237,"Nkain4","ENSMMUG00000009231",697551,"NKAIN4"
128434,"ENSG00000132821","VSTM2L","protein-coding","V-set and transmembrane domain containing 2 like",NA,100414980,"VSTM2L","ENSMUSG00000037843",277432,"Vstm2l","ENSMMUG00000017230",707394,"VSTM2L"
128486,"ENSG00000197296","FITM2","protein-coding","fat storage inducing transmembrane protein 2",NA,100402462,"FITM2","ENSMUSG00000048486",228859,"Fitm2","ENSMMUG00000029871",693640,"FITM2"
128488,"ENSG00000168703","WFDC12","protein-coding","WAP four-disulfide core domain 12",NA,100407663,"WFDC12",NA,NA,NA,"ENSMMUG00000013217",711552,"WFDC12"
128497,"ENSG00000149634","SPATA25","protein-coding","spermatogenesis associated 25","ENSCJAG00000017323",100405470,"SPATA25","ENSMUSG00000017767",75642,"Spata25","ENSMMUG00000009957",709097,"SPATA25"
128506,"ENSG00000149635","OCSTAMP","protein-coding","osteoclast stimulatory transmembrane protein",NA,100387240,"OCSTAMP","ENSMUSG00000027670",74614,"Ocstamp",NA,716673,"OCSTAMP"
128553,"ENSG00000182463","TSHZ2","protein-coding","teashirt zinc finger homeobox 2",NA,100391804,"TSHZ2","ENSMUSG00000047907",228911,"Tshz2",NA,709155,"TSHZ2"
128602,"ENSG00000124237","CIMIP1","protein-coding","ciliary microtubule inner protein 1","ENSCJAG00000019072",100405233,"CIMIP1","ENSMUSG00000027518",72221,"Cimip1","ENSMMUG00000057227",695728,"CIMIP1"
128611,"ENSG00000124203","ZNF831","protein-coding","zinc finger protein 831",NA,100384962,"ZNF831","ENSMUSG00000050600",100043757,"Zfp831","ENSMMUG00000020745",695016,"ZNF831"
128637,"ENSG00000125875","TBC1D20","protein-coding","TBC1 domain family member 20","ENSCJAG00000020847",100412937,"TBC1D20","ENSMUSG00000027465",67231,"Tbc1d20","ENSMMUG00000004461",716852,"TBC1D20"
128646,"ENSG00000125900","SIRPD","protein-coding","signal regulatory protein delta",NA,118153446,"SIRPD",NA,NA,NA,NA,NA,NA
128653,"ENSG00000258713","C20orf141","protein-coding","chromosome 20 open reading frame 141",NA,100385564,"C5H20orf141","ENSMUSG00000027409",75656,"1700020A23Rik","ENSMMUG00000009331",100426415,"C10H20orf141"
128674,"ENSG00000101292","PROKR2","protein-coding","prokineticin receptor 2","ENSCJAG00000021286",100401606,"PROKR2","ENSMUSG00000050558",246313,"Prokr2","ENSMMUG00000052101",718045,"PROKR2"
128710,"ENSG00000149346","SLX4IP","protein-coding","SLX4 interacting protein","ENSCJAG00000021356",100393509,"SLX4IP","ENSMUSG00000027281",74243,"Slx4ip","ENSMMUG00000018114",718563,"SLX4IP"
128817,"ENSG00000125823","CSTL1","protein-coding","cystatin like 1",NA,100405839,"CSTL1","ENSMUSG00000055177",228756,"Cstl1","ENSMMUG00000055975",702818,"CSTL1"
128822,"ENSG00000173335","CST9","protein-coding","cystatin 9",NA,100406933,"CST9",NA,NA,NA,NA,NA,NA
128853,"ENSG00000149599","DUSP15","protein-coding","dual specificity phosphatase 15","ENSCJAG00000020772",100397494,"DUSP15","ENSMUSG00000042662",252864,"Dusp15","ENSMMUG00000000970",100431027,"DUSP15"
128859,"ENSG00000167104","BPIFB6","protein-coding","BPI fold containing family B member 6",NA,100385563,"BPIFB6","ENSMUSG00000068009",228796,"Bpifb6","ENSMMUG00000020669",710835,"BPIFB6"
128861,"ENSG00000131059","BPIFA3","protein-coding","BPI fold containing family A member 3",NA,100406931,"BPIFA3","ENSMUSG00000027482",73388,"Bpifa3","ENSMMUG00000008928",710202,"BPIFA3"
128864,"ENSG00000149609","C20orf144","protein-coding","chromosome 20 open reading frame 144","ENSCJAG00000018471",100403897,"C5H20orf144","ENSMUSG00000038523",75480,"1700003F12Rik",NA,709543,"C10H20orf144"
128866,"ENSG00000101421","CHMP4B","protein-coding","charged multivesicular body protein 4B","ENSCJAG00000018397",100402821,"CHMP4B","ENSMUSG00000038467",75608,"Chmp4b","ENSMMUG00000008084",709004,"CHMP4B"
128869,"ENSG00000101464","PIGU","protein-coding","phosphatidylinositol glycan anchor biosynthesis class U","ENSCJAG00000018152",100398931,"PIGU","ENSMUSG00000038383",228812,"Pigu","ENSMMUG00000063752",707317,"PIGU"
128876,"ENSG00000125998","FAM83C","protein-coding","family with sequence similarity 83 member C","ENSCJAG00000017842",100394585,"FAM83C","ENSMUSG00000074647",71405,"Fam83c","ENSMMUG00000018210",705662,"FAM83C"
128954,"ENSG00000215568","GAB4","protein-coding","GRB2 associated binding protein family member 4",NA,NA,NA,NA,NA,NA,"ENSMMUG00000012602",100425935,"GAB4"
128977,"ENSG00000242259","C22orf39","protein-coding","chromosome 22 open reading frame 39",NA,100408700,"C1H22orf39","ENSMUSG00000071632",72307,"2510002D24Rik",NA,100424672,"C10H22orf39"
128989,"ENSG00000183597","TANGO2","protein-coding","transport and golgi organization 2 homolog",NA,100414458,"TANGO2","ENSMUSG00000013539",27883,"Tango2","ENSMMUG00000020233",719416,"TANGO2"
129025,"ENSG00000169548","ZNF280A","protein-coding","zinc finger protein 280A",NA,100402536,"ZNF280A",NA,NA,NA,"ENSMMUG00000014309",701168,"ZNF280A"
129049,"ENSG00000167037","SGSM1","protein-coding","small G protein signaling modulator 1","ENSCJAG00000009381",100396109,"SGSM1","ENSMUSG00000042216",52850,"Sgsm1","ENSMMUG00000010839",714057,"SGSM1"
129080,"ENSG00000186998","EMID1","protein-coding","EMI domain containing 1","ENSCJAG00000020041",100408833,"EMID1","ENSMUSG00000034164",140703,"Emid1","ENSMMUG00000021372",717414,"EMID1"
129138,"ENSG00000100124","ANKRD54","protein-coding","ankyrin repeat domain 54","ENSCJAG00000012378",100402783,"ANKRD54","ENSMUSG00000033055",223690,"Ankrd54","ENSMMUG00000015254",701977,"ANKRD54"
129285,"ENSG00000162869","PPP1R21","protein-coding","protein phosphatase 1 regulatory subunit 21","ENSCJAG00000010751",100412064,"PPP1R21","ENSMUSG00000034709",73825,"Ppp1r21","ENSMMUG00000022853",715917,"PPP1R21"
129293,"ENSG00000186854","TRABD2A","protein-coding","TraB domain containing 2A","ENSCJAG00000019738",100385874,"TRABD2A",NA,NA,NA,"ENSMMUG00000008855",694038,"TRABD2A"
129303,"ENSG00000168890","TMEM150A","protein-coding","transmembrane protein 150A","ENSCJAG00000019638",100410750,"TMEM150A","ENSMUSG00000055912",232086,"Tmem150a","ENSMMUG00000062509",696101,"TMEM150A"
129401,"ENSG00000163002","NUP35","protein-coding","nucleoporin 35","ENSCJAG00000011104",100412134,"NUP35","ENSMUSG00000026999",69482,"Nup35","ENSMMUG00000004140",706497,"NUP35"
129446,"ENSG00000163092","XIRP2","protein-coding","xin actin binding repeat containing 2","ENSCJAG00000006471",100396183,"XIRP2","ENSMUSG00000027022",241431,"Xirp2","ENSMMUG00000013251",708348,"XIRP2"
129450,"ENSG00000162971","TYW5","protein-coding","tRNA-yW synthesizing protein 5","ENSCJAG00000004155",100388926,"TYW5","ENSMUSG00000048495",68736,"Tyw5","ENSMMUG00000023167",699197,"TYW5"
129521,"ENSG00000204640","NMS","protein-coding","neuromedin S",NA,100895698,"NMS","ENSMUSG00000067604",433292,"Nms","ENSMMUG00000030707",710021,"NMS"
129530,"ENSG00000144214","LYG1","protein-coding","lysozyme g1",NA,100402772,"LYG1","ENSMUSG00000026085",69541,"Lyg1","ENSMMUG00000056414",709203,"LYG1"
129531,"ENSG00000158411","MITD1","protein-coding","microtubule interacting and trafficking domain containing 1","ENSCJAG00000007090",100400939,"MITD1","ENSMUSG00000026088",69028,"Mitd1","ENSMMUG00000000572",708915,"MITD1"
129563,"ENSG00000144535","DIS3L2","protein-coding","DIS3 like 3'-5' exoribonuclease 2","ENSCJAG00000013674",100398360,"DIS3L2","ENSMUSG00000053333",208718,"Dis3l2","ENSMMUG00000015167",712905,"DIS3L2"
129607,"ENSG00000134326","CMPK2","protein-coding","cytidine/uridine monophosphate kinase 2",NA,100410513,"CMPK2","ENSMUSG00000020638",22169,"Cmpk2","ENSMMUG00000015968",708602,"CMPK2"
129642,"ENSG00000143797","MBOAT2","protein-coding","membrane bound O-acyltransferase domain containing 2","ENSCJAG00000006207",100411946,"MBOAT2","ENSMUSG00000020646",67216,"Mboat2","ENSMMUG00000021037",693653,"MBOAT2"
129684,"ENSG00000155052","CNTNAP5","protein-coding","contactin associated protein family member 5","ENSCJAG00000018447",100387366,"CNTNAP5","ENSMUSG00000070695",636808,"Cntnap5a","ENSMMUG00000019739",697828,"CNTNAP5"
129685,"ENSG00000137413","TAF8","protein-coding","TATA-box binding protein associated factor 8","ENSCJAG00000004292",100408613,"TAF8","ENSMUSG00000023980",63856,"Taf8","ENSMMUG00000012470",696809,"TAF8"
129787,"ENSG00000151353","TMEM18","protein-coding","transmembrane protein 18",NA,100391639,"TMEM18","ENSMUSG00000043061",211986,"Tmem18","ENSMMUG00000042598",721515,"TMEM18"
129804,"ENSG00000144152","FBLN7","protein-coding","fibulin 7","ENSCJAG00000016508",100402885,"FBLN7","ENSMUSG00000027386",70370,"Fbln7",NA,698702,"FBLN7"
129807,"ENSG00000204099","NEU4","protein-coding","neuraminidase 4",NA,100399808,"NEU4","ENSMUSG00000034000",241159,"Neu4","ENSMMUG00000014405",702264,"NEU4"
129831,"ENSG00000155636","RBM45","protein-coding","RNA binding motif protein 45",NA,NA,NA,"ENSMUSG00000042369",241490,"Rbm45","ENSMMUG00000002013",702714,"RBM45"
129852,"ENSG00000177994","C2orf73","protein-coding","chromosome 2 open reading frame 73",NA,100396475,"C14H2orf73","ENSMUSG00000040919",75087,"4930505A04Rik","ENSMMUG00000002155",718692,"C13H2orf73"
129880,"ENSG00000163093","BBS5","protein-coding","Bardet-Biedl syndrome 5","ENSCJAG00000006532",100402122,"BBS5","ENSMUSG00000063145",72569,"Bbs5","ENSMMUG00000020510",709701,"BBS5"
129881,"ENSG00000154479","CFAP210","protein-coding","cilia and flagella associated protein 210",NA,100400162,"CFAP210","ENSMUSG00000070883",75051,"Cfap210","ENSMMUG00000031398",709886,"CFAP210"
130013,"ENSG00000153086","ACMSD","protein-coding","aminocarboxymuconate semialdehyde decarboxylase","ENSCJAG00000011557",100413800,"ACMSD","ENSMUSG00000026348",266645,"Acmsd","ENSMMUG00000010195",708917,"ACMSD"
